,Cloudiness (%),Humidity (%),Latitude,Temperature (F),Wind Speed (mph)
0,0,10,33.06,62.13,5.82
1,80,95,51.52,39.32,10.65
2,20,52,39.23,19.4,2.24
3,75,100,53.4,37.8,8.05
4,0,86,44.72,27.5,6.93
5,75,76,44.24,50.0,8.05
6,20,53,55.57,21.2,11.18
7,75,88,-4.01,77.0,4.7
8,36,80,-33.12,80.41,0.92
9,90,63,43.17,27.48,6.4
10,1,86,40.92,38.25,6.93
11,75,100,50.1,35.6,5.95
12,0,30,-35.32,95.0,8.05
13,90,100,43.75,25.75,5.17
14,40,100,51.59,41.04,11.41
15,92,96,54.05,40.4,4.16
16,68,100,-7.51,79.96,18.7
17,24,94,-23.62,73.48,9.98
18,92,96,53.68,41.26,3.15
19,75,89,61.9,37.4,6.93
20,12,75,15.44,84.05,3.27
21,44,56,-26.22,84.01,7.74
22,0,93,37.6,39.2,1.12
23,0,92,47.96,26.6,4.7
24,90,100,32.62,41.0,2.26
25,1,68,40.44,25.0,8.05
26,0,86,49.57,42.82,8.05
27,92,100,39.93,33.88,13.22
28,75,100,50.81,38.59,4.7
29,0,92,45.67,14.0,2.37
30,40,93,53.0,37.4,6.93
31,20,79,40.61,26.6,5.82
32,36,53,10.7,75.2,4.7
33,75,100,53.65,41.0,2.24
34,1,42,39.87,23.81,5.82
35,48,90,39.66,15.38,6.06
36,0,93,48.11,39.2,4.7
37,75,74,5.34,87.8,3.36
38,92,100,50.12,39.92,3.36
39,92,99,-21.3,63.71,4.5
40,0,76,43.29,46.27,3.36
41,75,100,53.18,42.06,8.05
42,64,78,-35.5,78.2,1.14
43,68,89,44.96,16.82,4.94
44,1,44,42.42,19.4,14.99
45,92,93,49.26,44.58,3.36
46,90,100,51.56,41.0,1.12
47,75,100,53.93,41.72,2.24
48,44,79,53.94,2.11,9.64
49,90,100,51.02,42.8,9.17
50,0,93,47.82,40.98,5.82
51,90,100,44.77,45.63,3.36
52,75,94,47.55,32.0,11.41
53,0,74,50.26,30.2,8.05
54,75,100,53.66,39.11,8.05
55,8,87,6.02,65.56,3.94
56,76,88,50.46,13.67,6.96
57,48,93,59.04,39.79,11.41
58,92,85,59.97,17.05,20.94
59,0,100,41.19,34.52,1.12
60,75,100,53.2,40.57,5.82
61,0,74,50.05,30.2,8.05
62,0,100,48.4,37.4,2.24
63,68,87,50.95,44.6,9.17
64,75,93,51.14,42.37,4.7
65,1,86,44.56,27.73,13.87
66,92,79,-6.78,86.8,20.83
67,8,100,10.41,82.07,9.19
68,1,57,40.53,23.56,2.26
69,0,93,43.76,43.99,3.36
70,75,93,49.29,41.52,5.82
71,90,81,49.03,43.43,5.82
72,92,98,-20.83,56.51,2.04
73,0,52,48.55,-7.61,13.42
74,20,73,7.17,75.2,10.29
75,8,43,-36.25,96.79,4.05
76,90,67,34.33,23.0,15.66
77,20,38,33.44,39.22,12.75
78,75,100,53.78,41.0,2.24
79,92,87,51.68,44.6,9.17
80,75,100,52.01,42.76,2.24
81,92,87,51.55,42.19,6.93
82,8,100,41.5,32.08,10.87
83,80,79,-7.02,81.62,3.38
84,0,86,45.58,36.27,3.36
85,8,81,28.57,-4.11,1.14
86,64,40,54.88,10.75,3.83
87,40,91,47.38,37.4,11.41
88,75,100,54.32,39.79,2.24
89,40,100,43.85,38.32,8.05
90,80,93,42.35,40.42,2.24
91,68,94,42.21,33.2,11.65
92,1,53,40.82,22.24,4.7
93,1,80,34.76,37.02,3.38
94,40,79,-8.64,84.2,10.29
95,75,100,40.13,42.8,10.29
96,68,76,20.05,48.41,7.29
97,75,70,10.2,86.0,12.75
98,0,56,17.48,83.56,8.08
99,90,81,49.98,43.77,5.82
100,1,34,33.37,50.02,8.05
101,75,93,53.26,37.85,3.36
102,12,100,47.14,37.45,3.36
103,0,92,47.47,27.52,4.7
104,12,86,47.5,33.84,3.36
105,40,66,36.62,50.0,17.22
106,92,86,54.78,19.39,14.9
107,90,57,55.67,21.2,13.42
108,75,80,38.13,33.8,4.7
109,40,100,38.3,41.97,8.05
110,92,93,48.7,44.17,10.29
111,0,79,10.8,78.79,14.45
112,0,93,47.0,40.93,5.82
113,90,93,44.31,45.45,2.24
114,90,100,46.64,26.6,2.24
115,92,98,-20.93,56.51,2.04
116,92,86,45.21,41.0,4.7
117,68,96,-8.67,68.26,4.05
118,1,60,38.73,43.18,13.87
119,68,87,50.95,44.6,9.17
120,0,58,20.0,57.86,2.93
121,40,93,42.38,40.01,1.12
122,0,71,18.32,77.26,2.71
123,1,85,41.18,27.32,4.7
124,0,63,-33.08,58.59,10.29
125,20,86,43.07,29.97,4.7
126,0,51,44.63,4.09,13.0
127,0,81,40.7,46.4,2.24
128,75,86,47.68,33.8,1.12
129,75,100,50.67,41.56,3.36
130,75,87,41.32,50.0,1.12
131,12,62,6.44,64.75,2.93
132,20,93,48.32,42.8,5.82
133,88,86,34.54,20.87,9.64
134,64,25,-41.53,87.8,14.99
135,24,92,44.49,18.5,3.04
136,90,85,53.62,14.0,10.29
137,88,85,24.79,37.39,9.98
138,90,81,49.84,43.81,5.82
139,75,100,48.37,36.5,2.24
140,1,68,40.83,26.64,3.38
141,1,100,33.3,34.63,3.83
142,20,100,47.29,37.35,8.3
143,0,86,36.85,45.5,5.82
144,80,93,48.51,35.6,2.24
145,0,55,45.95,2.96,8.08
146,88,88,52.64,26.27,12.1
147,12,60,8.08,79.33,13.22
148,40,88,48.35,37.4,11.41
149,75,64,26.94,67.91,25.28
150,40,81,24.33,53.6,3.36
151,75,81,48.13,40.8,5.82
152,0,91,41.58,30.86,10.09
153,36,98,-2.88,52.33,2.93
154,36,76,-14.13,71.05,6.4
155,20,93,38.81,44.6,3.36
156,0,93,30.54,44.6,3.36
157,1,75,34.45,44.8,6.93
158,56,86,50.84,23.3,2.71
159,40,100,51.44,40.62,11.41
160,90,86,31.39,28.4,8.95
161,68,66,50.09,8.36,1.36
162,0,77,-37.67,75.1,10.98
163,1,86,32.54,39.34,5.39
164,92,76,44.05,54.05,18.34
165,20,76,39.05,46.15,5.82
166,36,99,12.52,82.07,8.52
167,1,100,35.43,30.16,5.84
168,92,93,48.59,46.4,8.05
169,0,38,11.58,58.81,7.18
170,90,93,51.75,35.92,8.05
171,80,100,53.15,40.12,4.7
172,92,93,53.28,42.35,3.94
173,0,78,-27.67,74.83,6.62
174,92,93,48.98,45.12,3.36
175,92,94,50.52,41.57,6.96
176,0,54,34.78,27.4,1.81
177,32,100,59.21,33.8,3.36
178,75,100,49.2,43.41,3.36
179,90,75,39.51,42.82,10.29
180,88,93,43.11,23.35,3.83
181,0,89,13.69,48.01,2.04
182,20,71,39.04,51.8,16.11
183,44,86,50.25,26.6,4.7
184,40,66,30.28,51.12,4.7
185,75,100,39.94,42.8,10.29
186,24,100,0.94,83.29,5.61
187,1,86,42.79,31.55,9.17
188,12,85,6.52,81.85,2.15
189,75,100,54.3,41.02,2.24
190,75,94,55.92,32.74,3.36
191,75,100,53.11,41.02,5.82
192,80,100,54.47,39.79,3.36
193,0,93,40.04,39.2,6.93
194,92,79,32.54,22.99,2.82
195,68,97,-8.3,80.95,6.29
196,90,62,44.45,55.4,18.34
197,88,83,28.39,35.72,4.72
198,80,76,33.33,20.78,3.15
199,75,87,40.81,50.0,1.12
200,75,87,41.59,52.52,1.12
201,90,81,41.49,42.44,26.4
202,92,91,40.45,40.76,5.39
203,68,93,48.52,41.9,4.7
204,20,100,47.02,34.07,2.24
205,40,50,34.87,36.5,10.29
206,0,87,26.78,51.25,3.27
207,44,80,48.58,11.29,8.86
208,36,87,-29.32,81.8,3.94
209,90,100,45.55,42.8,2.24
210,75,93,48.39,37.4,6.93
211,8,100,9.95,82.07,9.19
212,40,93,50.61,41.49,6.93
213,1,76,37.97,29.5,6.93
214,75,100,54.23,41.04,2.24
215,40,79,-8.65,84.2,10.29
216,92,76,43.15,45.93,8.05
217,75,100,49.88,41.38,4.7
218,64,97,-6.58,69.02,4.94
219,0,100,42.65,32.0,4.7
220,1,85,42.43,34.59,8.05
221,92,100,50.22,40.3,3.36
222,64,93,-14.31,70.96,2.04
223,0,73,39.66,27.13,2.37
224,40,88,48.21,35.53,11.41
225,75,94,-7.61,77.0,4.7
226,1,71,28.02,55.83,13.87
227,75,86,60.63,37.4,12.75
228,90,100,27.68,42.8,2.24
229,20,53,55.63,21.2,11.18
230,36,84,51.72,-20.94,1.03
231,75,100,52.05,42.8,2.24
232,88,93,42.48,41.0,2.24
233,64,97,42.57,34.55,3.83
234,64,84,17.08,73.21,2.93
235,90,100,50.67,42.8,9.17
236,44,100,51.51,-19.23,4.72
237,92,100,16.74,59.3,1.81
238,56,58,-32.57,86.0,11.41
239,0,100,32.98,42.02,18.25
240,20,65,-29.25,86.57,5.95
241,0,50,-33.8,80.23,4.72
242,36,85,8.58,82.52,3.6
243,90,91,40.38,33.24,11.41
244,0,84,47.93,15.92,11.65
245,90,86,44.14,32.0,9.17
246,68,88,-20.59,48.55,2.26
247,75,100,49.6,40.64,4.7
248,0,88,52.47,32.0,5.82
249,76,90,41.67,32.03,5.61
250,75,93,42.11,41.0,9.17
251,0,58,15.83,85.0,5.17
252,90,81,49.22,43.43,5.82
253,75,86,51.25,37.4,20.8
254,0,33,32.68,38.41,6.73
255,12,0,55.91,-45.78,3.15
256,76,88,58.94,35.05,15.01
257,20,53,55.33,21.2,11.18
258,90,100,44.93,44.6,3.36
259,68,82,55.3,10.25,14.45
260,92,99,43.38,40.58,6.06
261,92,74,54.52,8.36,9.19
262,1,77,46.69,2.05,10.29
263,75,85,37.23,23.0,9.17
264,0,10,33.12,62.13,5.82
265,0,92,46.57,19.4,3.36
266,1,27,38.08,51.8,5.82
267,0,37,24.43,55.4,24.61
268,12,88,42.11,29.06,7.63
269,0,47,35.58,35.18,1.81
270,48,97,41.05,36.98,4.05
271,0,100,47.5,34.88,2.26
272,0,86,44.94,27.48,3.36
273,40,88,48.33,37.4,11.41
274,92,93,42.16,41.0,2.24
275,75,93,45.9,41.0,2.24
276,92,97,57.35,41.48,16.69
277,40,88,3.01,71.6,8.05
278,90,100,44.96,25.02,9.17
279,92,100,27.56,35.27,7.29
280,0,76,-26.5,80.45,11.32
281,0,41,36.98,57.2,5.82
282,75,88,47.2,34.72,5.82
283,75,100,50.66,35.6,6.93
284,20,100,47.05,40.42,9.08
285,0,93,45.13,43.72,4.16
286,90,93,36.89,46.4,1.36
287,0,64,18.62,54.53,4.38
288,90,100,45.65,42.8,2.24
289,75,26,32.85,55.65,13.87
290,90,67,29.48,56.75,5.82
291,24,99,12.29,82.21,7.63
292,56,74,48.0,36.09,1.12
293,75,100,49.82,41.4,4.7
294,90,100,50.77,42.8,9.17
295,20,84,5.86,83.33,1.7
296,56,84,56.53,6.8,11.18
297,0,64,45.22,8.5,2.71
298,90,100,44.55,45.54,3.36
299,75,52,34.78,41.0,6.93
300,0,87,31.68,43.56,2.93
301,1,60,37.91,42.8,9.17
302,80,100,5.28,50.44,0.58
303,90,92,48.79,12.2,13.42
304,40,93,50.58,42.8,6.93
305,90,93,40.4,39.2,14.99
306,0,74,49.95,30.2,8.05
307,1,51,33.76,57.0,3.36
308,80,94,60.5,30.55,6.06
309,5,83,18.1,75.76,9.98
310,24,92,41.12,30.95,11.65
311,20,97,44.83,42.47,4.27
312,75,93,49.2,39.18,8.05
313,92,100,50.2,39.87,3.36
314,1,30,32.32,47.57,6.93
315,75,86,47.57,33.8,1.12
316,90,100,45.57,41.0,1.12
317,0,55,33.48,49.0,18.48
318,40,75,49.78,-14.81,4.7
319,92,100,50.38,41.49,3.36
320,75,74,29.22,35.6,8.95
321,0,41,37.32,57.2,5.82
322,20,100,52.38,36.37,1.12
323,1,45,39.82,46.4,11.41
324,75,94,18.5,72.48,4.7
325,75,93,45.09,41.0,2.24
326,0,65,11.3,54.98,3.15
327,90,100,51.44,42.8,9.17
328,0,93,-28.87,80.5,8.75
329,75,85,48.07,35.67,4.7
330,90,86,42.4,39.2,12.75
331,90,93,44.75,35.04,2.24
332,0,74,52.2,35.6,5.82
333,92,93,45.66,47.75,10.29
334,44,76,10.12,83.83,3.6
335,75,100,52.87,42.91,3.36
336,0,93,40.49,36.39,6.93
337,20,30,40.96,24.78,4.7
338,0,67,16.53,78.56,2.59
339,68,72,34.34,16.15,2.71
340,90,75,45.5,46.31,8.05
341,0,90,39.5,34.24,7.29
342,76,93,48.88,36.45,2.24
343,75,95,38.68,46.4,6.93
344,75,81,48.53,39.7,1.12
345,92,100,50.07,39.92,3.36
346,1,50,45.18,30.2,3.27
347,75,93,53.52,42.35,5.82
348,76,95,50.02,23.89,7.74
349,0,62,-39.5,65.38,9.08
350,12,95,48.68,38.42,8.41
351,20,100,47.2,28.44,2.24
352,75,80,48.0,33.8,8.05
353,68,93,48.73,35.15,2.24
354,75,100,39.58,42.8,10.29
355,0,87,45.71,42.8,13.22
356,40,100,51.11,41.11,11.41
357,68,81,56.72,8.45,18.25
358,92,93,42.24,41.0,2.24
359,40,93,50.58,42.8,6.93
360,90,100,54.15,37.4,2.24
361,0,87,28.0,49.31,2.59
362,0,87,27.95,49.58,5.06
363,0,93,39.05,35.05,10.42
364,0,93,48.12,39.2,4.7
365,0,72,45.18,12.77,3.83
366,0,68,-33.38,93.46,4.72
367,92,100,44.99,39.73,3.6
368,64,25,-41.2,87.8,14.99
369,1,56,35.65,41.95,5.82
370,88,98,-7.06,68.75,4.61
371,90,93,44.33,45.45,2.24
372,20,71,39.52,51.8,16.11
373,90,30,31.63,55.4,11.41
374,0,83,9.27,77.88,6.93
375,92,88,30.72,25.91,12.21
376,0,87,46.07,42.8,11.21
377,8,73,-12.12,61.24,1.59
378,80,87,43.57,42.8,10.29
379,0,71,27.0,53.6,2.82
380,75,100,49.93,44.6,5.82
381,75,87,38.05,48.22,4.7
382,75,93,14.57,59.0,16.11
383,75,100,52.1,42.19,3.36
384,12,88,4.78,63.31,3.04
385,32,53,-33.4,73.3,13.78
386,90,92,46.06,26.6,9.17
387,40,91,47.67,37.4,11.41
388,64,100,-6.47,79.15,16.13
389,90,81,49.77,43.81,5.82
390,0,71,27.0,53.6,2.82
391,75,100,49.77,37.4,3.38
392,75,100,50.55,40.98,3.36
393,68,100,51.42,35.58,8.19
394,32,100,11.64,80.72,3.71
395,0,90,11.83,78.47,23.96
396,92,90,63.62,34.28,10.2
397,0,88,48.17,34.75,2.24
398,68,97,-8.1,80.95,6.29
399,92,87,43.32,44.6,8.05
400,0,58,41.96,-13.29,2.37
401,80,85,-8.01,80.36,5.84
402,40,74,-6.32,84.2,11.41
403,92,99,-25.62,72.17,9.31
404,75,86,53.96,36.9,6.93
405,90,93,46.6,42.8,2.24
406,76,81,-33.58,75.73,2.59
407,0,92,44.97,30.2,8.05
408,75,100,-17.68,73.4,6.93
409,20,52,30.17,42.55,6.93
410,0,100,51.06,39.47,8.05
411,1,41,42.48,21.7,10.29
412,0,95,38.51,36.26,8.75
413,36,95,-22.62,72.31,9.53
414,1,86,46.81,29.3,8.05
415,0,35,10.88,61.78,8.75
416,24,92,53.9,43.37,10.09
417,90,93,50.88,41.79,6.93
418,1,72,34.36,35.42,4.94
419,90,100,52.35,32.0,8.05
420,75,93,42.98,41.11,6.93
421,8,88,42.81,27.98,7.52
422,48,77,54.79,2.74,12.77
423,0,86,46.08,41.45,4.7
424,20,74,7.88,83.41,11.41
425,20,76,38.81,46.17,5.82
426,75,56,19.37,73.4,5.82
427,75,87,46.2,41.58,2.24
428,56,29,-31.22,91.4,5.82
429,68,93,48.47,41.9,4.7
430,90,93,48.56,42.21,2.24
431,92,94,50.22,41.57,6.96
432,56,75,52.92,42.8,11.41
433,75,93,53.7,42.8,2.24
434,20,52,32.25,41.0,2.24
435,20,69,41.33,30.49,3.36
436,90,93,51.05,37.4,6.93
437,75,93,51.47,42.22,4.7
438,75,86,51.43,39.34,20.8
439,0,46,-37.48,90.62,2.59
440,88,98,41.47,32.93,14.34
441,80,93,47.5,39.74,2.24
442,36,97,10.26,67.36,3.15
443,0,73,47.28,0.08,3.15
444,20,100,47.33,24.8,2.24
445,20,76,39.2,46.13,5.82
446,76,88,48.8,29.33,2.71
447,92,100,25.29,29.51,8.52
448,90,93,19.05,64.4,3.36
449,75,85,55.91,21.2,11.18
450,20,73,-29.95,69.8,8.05
451,12,94,-16.05,35.45,1.36
452,0,77,44.9,7.82,2.93
453,20,90,42.1,29.65,7.74
454,75,100,53.27,42.1,8.05
455,90,86,32.04,28.4,8.95
456,1,64,39.03,45.36,8.05
457,1,56,30.68,42.17,8.41
458,75,93,45.48,41.0,2.24
459,80,53,-31.54,74.65,11.65
460,0,92,46.77,19.4,3.36
461,0,92,48.01,27.64,4.7
462,75,93,47.03,36.03,3.83
463,92,81,31.47,24.43,9.42
464,8,54,61.5,-20.98,2.04
465,90,100,44.63,44.6,3.36
466,75,100,49.53,38.66,4.7
467,1,34,38.63,51.13,10.29
468,1,74,41.96,37.98,12.75
469,12,94,40.23,32.08,6.17
470,75,100,49.13,44.19,3.36
471,75,79,45.14,28.4,13.42
472,90,100,25.65,48.2,3.36
473,1,45,30.45,48.2,3.36
474,75,100,39.9,42.8,10.29
475,90,81,41.47,45.72,26.4
476,92,100,43.36,39.68,3.15
477,75,86,48.25,33.8,1.12
478,0,69,24.62,48.05,2.04
479,0,35,-34.35,84.2,9.17
480,75,86,53.68,37.06,6.93
481,0,85,44.9,17.6,4.7
482,75,100,49.52,39.22,4.7
483,88,78,24.51,43.46,8.86
484,92,100,50.17,40.1,3.36
485,56,86,47.7,34.39,3.36
486,20,70,15.11,84.2,3.36
487,20,83,41.78,22.99,2.26
488,40,100,50.52,33.8,5.82
489,0,22,35.54,22.14,13.87
490,75,93,45.66,40.55,2.24
491,92,88,54.46,38.78,3.38
492,44,100,56.48,39.2,6.93
493,0,86,27.2,49.36,2.82
494,92,75,48.51,36.3,8.05
495,0,93,48.92,39.2,6.93
496,12,55,45.24,-32.77,2.48
497,76,93,42.81,45.05,2.24
498,0,76,46.28,28.66,5.28
499,8,93,56.71,41.0,2.24
